Title,Author,Headlines
CNN election projections explained,[],CNN's David Chalian shares how the network and its election experts use scientific statistical procedures to project the winner of the 2020 presidential election.
Georgia has been red since 1992. Joe Biden just expanded his lead,[],"Democratic presidential nominee Joe Biden expanded his lead over President Donald Trump in Georgia. If Biden can keep this advantage it would be the first time since President Bill Clinton, in 1992, that Georgia voted for a Democrat. CNN's Phil Mattingly walks through the latest."
This is the last chance for these Nevada voters to 'cure' their ballot,[],"CNN's Sara Sidner speaks with two Nevada voters while they wait in line to fix or ""cure"" their ballots in the 2020 presidential election."
Fox News anchors are questioning their own network's election calls,[],"Fox News called Arizona for Joe Biden before other news outlets made projections. Now, its anchors and correspondents are questioning their own network's decision."
Al Roker reveals he has prostate cancer on 'Today',[],This is the last chance for their Nevada votes to count
Dozens of people dead as Eta slams Central America,[],"Storm Eta has slammed into Central America flooding homes and bringing devastating landslides. Eta is expected to pass over Cuba before heading to southestern United States.

Source: CNN"
Georgia Senate candidate Jon Ossoff: I believe history is unfolding in Georgia,[],Georgia Senate candidate Jon Ossoff explains to Don Lemon why he believes history is being made in Georgia during the 2020 election.
Trump supporters: 'Count the vote' and 'Stop the vote',[],"Small groups of demonstrators gathered in several cities as votes in the US presidential election continued to be counted.

Source: CNN"
"Pennsylvania secretary of state: We work for every voter, every candidate and every party",[],"During a press conference, Pennsylvania's Secretary of State Kathy Boockvar spoke passionately in defense of local officials working tirelessly to ensure ""every voter, every candidate and every party have access to a fair, free, safe and secure election."""
David Andahl wins North Dakota state seat after dying from Covid-19,[],This is the last chance for their Nevada votes to count
2020 Election: Here's where the Trump campaign has filed lawsuits,[],"The Trump campaign has filed lawsuits in Pennsylvania, Michigan, Nevada and Georgia as the President's path to 270 electoral votes narrows."
Detroit election ballot observers removed from room where absentee ballots are being counted,[],"CNN's Miguel Marquez reports from a convention center in Detroit where some observers and challengers to the vote-counting process have been removed from a room where absentee ballots are being counted.

"
Austrian chancellor speaks out after Vienna terror attack,[],Austrian Chancellor Sebastian Kurz sits down for an exclusive interview with CNN's Fred Pleitgen after at least four people were killed and 22 were injured in terror attack in Vienna.
Three children pulled from rubble days after quake,[],"More than 90 hours after a deadly earthquake struck Western Turkey, a 2-year-old girl was rescued from a collapsed building. A day earlier two other children were found alive. Rescue efforts to find survivors are ongoing.

Source: CNN"
The Motley Fool,[],"Motley Fool Stock Advisor presents

5 Stocks Under $49

Are you a HENRY? If you’re not sure, HENRY stands for High Earner, Not Rich Yet. It means that despite earning a six-figure income, you’re struggling to amass a meaningful nest egg.

Here at The Motley Fool, we’ve been providing investment guidance to help our members build the financial futures they’ve envisioned since 1993. In that time, our members have had the opportunity to access hundreds of generational investing recommendations, including top picks like AOL in 1994, Amazon in 1997, and Netflix in 2004.

Realizing you might be a HENRY? Remember the “not rich yet” part…

We believe you can do it, and we hope The Motley Fool can help.

Simply enter your email below to get five free stock picks from our flagship investing service, Stock Advisor, and discover what other stocks could join that list. You’ll get one recommendation from us on the site and the remaining four will be sent directly to your inbox."
Rafik Hariri: Guilty verdict for lead suspect in killing of former Lebanese prime minister,"['Mostafa Salem', 'Nada Altaher', 'Ben Wedeman']","(CNN) The lead suspect in the 2005 bombing that killed former Lebanese Prime Minister Rafik Hariri was convicted at a tribunal in the Netherlands on Tuesday.

Salim Jamil Ayyash was found guilty of being part of the ""red cell phone network"" involved in the planning of Hariri's assassination.

The other three defendants, Assad Sabra, Hassan Oneissi and Hassan Habib Merei, were found not guilty at the Special Tribunal for Lebanon (STL) in The Hague. The hearing ruled that there was no evidence of their involvement in the bombing.

Vehicles destroyed in the bombing of Hariri's armed motorcade on February 14, 2005, in Beirut, Lebanon.

The special court was set up to try the four suspects, who were charged with conspiracy to commit a terrorist act, intentional homicide, attempted intentional homicide, and other related charges, according to the tribunal website.

The men's whereabouts are currently unknown; the verdict was issued in absentia.

Read More"
Koala populations in decline due to increased human impacts on nature,['Lauren Kent'],"(CNN) It has been a stressful year for Australia's koalas. Their health and natural environment, however, have been under threat for a long time.

Bushfires, habitat fragmentation, vehicle collisions and dog attacks -- all which hurt koalas -- have been getting worse over the last decade.

That has led to species population decline and increased disease among koalas, according to new research published Wednesday in the academic journal PLOS ONE

The number of diseased koalas increased over the course of 30 years, while the number of sick koalas that could be released back into the wild dropped, the study said. It analyzed 29 years' worth of data on koala sightings and animal hospital admissions from three wildlife rescue groups in New South Wales, Australia.

A combination of environmental impacts and human disturbance of koala habitats, researchers found, have made Australia's iconic marsupials vulnerable to extinction.

""In the last 10 years, we can see koala rescues ramped up significantly because more koalas are being found out in the open and on the ground,"" said lead author Edward Narayan, a senior lecturer of animal science at the University of Queensland.

That's not a good sign for a tree-dwelling species. For their survival, koalas rely on eucalyptus trees, which they use for food but also to find refuge and breed.

On top of injuries and deaths due to habitat loss and human encroachment, researchers say koalas are at risk because long-term stress is hurting their immune systems.

Environmental degradation, rising global temperatures and droughts have led to more koalas falling to the ground because tree leaves dry out and no longer have enough water or nutrients, according to researchers at the University of Sydney in a separate study.

Over and beyond koala injuries and deaths due to habitat loss and human encroachment, Narayan said koalas are in danger because long-term, chronic stress is hurting their immune systems.

""Humans have all these artificial coping mechanisms to cope with stress, but with animals, the problem is that most small animals are good at hiding their fear,"" Narayan said. ""You cannot tell if an animal is sick or not unless it becomes very sick.""

The most common reason a koala was reported or admitted for clinical care was disease -- including signs of infections, poor body condition and organ damage, the University of Queensland study data revealed.

""We also found that the disease cases are increasing, so there are more koalas found with higher prevalence of chlamydia, which is one of the diseases that affects koalas,"" Narayan told CNN. ""As a result, more koalas are having to be euthanized, unfortunately.""

Human impact on koalas

Human population growth has had an increasingly negative impact on koala populations through a variety of stressors, according to Narayan.

""One of the biggest factors is land clearance,"" Narayan said. ""What's happening is koalas are facing more and more pressure on the outskirts of the cities. That habitat corridor is more vulnerable ... we can see these bubbles of new housing development impacting koalas.""

Agriculture also plays a role in the decline of koalas, as more natural land is cleared for agricultural development, Narayan added. Sustainable agriculture practices and nature conservation, the study's researchers argue, are vital for saving koalas.

Climate change is also contributing to the decline of koalas. For example, droughts lead to more dehydrated koalas and fewer healthy trees for them to call home.

And Australia experienced record-breaking bushfires in 2019 and 2020, which were likely made worse by climate change , according to a report by the New South Wales Bushfire Inquiry. Fires are nothing new in Australia, but they have been becoming more intense and more destructive in recent years, a problem exacerbated by the climate crisis.

Almost a third of koalas in New South Wales may have been killed in recent bushfires , which also destroyed about a third of their habitat, Australia Minister for the Environment Sussan Ley said in December 2019.

WWF aims to double koala numbers

World Wide Fund for Nature - Australia in early October launched an ambitious plan called Regenerate Australia that aims to double koala numbers on the country's east coast -- in part by planting seeds to grow more trees that grow koala food.

Policy makers, farmers and everyday citizens need to focus more on environmental preservation in order to protect koalas and other Austalian wildlife, researchers say.

Planting more trees is essential following a bushfire season that wiped out 7 billion trees and killed an estimated 3 billion animals, WWF said.

""Unprecedented damage calls for an unprecedented response,"" WWF Australia CEO Dermot O'Gorman said in a statement.

O'Gorman added that efforts to double koala numbers by 2050 would also benefit many other species as well as boost the economies of regional communities.

""WWF is excited to trial specialised drones, with some models capable of planting 40,000 seeds a day, to create corridors so that koalas and other wildlife can move across a landscape fragmented by fire and land clearing,"" he said.

Policy makers, farmers and citizens need to focus more on environmental preservation -- not only for the health of koalas, but also for the health of the planet and future generations, Narayan said.

""The koalas carry the voice of Australia's environment,"" he said, adding that their decline alludes to a larger crisis in the natural world. ""The amount of damage that has been to the planet -- we can't hide from it.

""Eventually what will happen with this effect on nature is that we will be creating our own grave, in a way,"" Narayan added. ""If animals are sick, if frogs don't sing, and if koalas can't breathe, then that's a good sign that the natural environment is no longer healthy."""
"Breaking News, Latest News and Videos",[],
"Breaking News, Latest News and Videos",[],
FDA advisory panel not convinced of new Alzheimer's disease drug's effectiveness,['Jacqueline Howard'],"(CNN) An advisory committee to the US Food and Drug Administration largely concluded in a meeting on Friday that there is not enough evidence to support the effectiveness of the experimental Alzheimer's disease drug aducanumab -- and thus clinical data do not support approving the treatment.

The FDA is now expected to consider the committee's opinions and then decide whether to approve the drug or pump the brakes. That decision may not happen for some time -- possibly not until next year.

Approval would mark a major milestone; it would be the first approval of a new Alzheimer's drug in nearly 20 years.

On Friday, the FDA's Peripheral and Central Nervous System Drugs Advisory Committee was asked to vote on several questions about evidence of the drug's effectiveness. The drug, administered through intravenous infusion for early Alzheimer's disease, was developed by the pharmaceutical company Biogen and its Japanese partner Eisai.

In response to a question about whether it was reasonable to consider data from one positive study as the primary evidence of aducanumab's effectiveness for the treatment of Alzheimer's disease, none of the committee members voted yes -- 10 voted no and one was uncertain.

Expert panel questions drug's effectiveness

In response to one question about whether the positive study provides ""strong evidence"" that supports the effectiveness of aducanumab for the treatment of Alzheimer's disease, one committee member voted yes, eight voted no and two were uncertain.

And in response to a separate question about whether another smaller study provided supportive evidence of aducanumab's effectiveness, none of the committee members voted yes -- seven voted no and four were uncertain.

""There's a huge danger in approving something that turns out not to be effective,"" said Dr. Joel Perlmutter, a committee member who voted mostly ""no"" in response to questions of whether evidence supported aducanumab's effectiveness.

""If we approve something when the data is not strong, we have a risk of delaying good treatments and effective treatments for more than a couple of years, for many years,"" Perlmutter said in Friday's meeting.

Committee member Dr. G. Caleb Alexander, who also voted ""no"" or ""uncertain"" to questions, agreed: ""This is such an important application to get right because of the overwhelming imperative for new treatments.""

Panel member 'highly critical' of FDA presentation

During the meeting, some of the committee members also raised concern that questions and data were presented to the panel in a way that was biased, ""one-sided"" or favorable to the drug.

""I'm highly critical of the fact that the FDA presentation today was so heavily weighted to just giving the same conclusions that the sponsor did,"" committee member Dr. Scott Emerson said, referring to Biogen.

Earlier in the meeting, Alexander said, ""I find the material the FDA provided strikingly incongruent.""

In a statement Friday night, Biogen acknowledged the committee votes and thanked those who shared their thoughts and experiences at the meeting.

""We will continue to work with the FDA as it completes its review of our application,"" Michel Vounatsos, Biogen chief executive officer, said in the statement.

The FDA could decide to contradict the committee's votes and approve aducanumab. But such a decision would be controversial.

""One would expect this advisory committee will have a lot of influence,"" Rudolph Tanzi, a Harvard professor of neurology and director of the Genetics and Aging Research Unit at Massachusetts General Hospital, told CNN on Wednesday. He was not involved in the meeting.

In March 2019, Phase 3 clinical trials of aducanumab were discontinued because a futility analysis found the trials were unlikely to meet their primary goals at completion.

But several months later, Biogen announced that a new analysis, which included more patients, showed that those who received aducanumab experienced a significant reduction in clinical decline in one trial. Results for some patients in another study supported those findings, as well.

Then in July, Biogen completed its submission to the FDA for a Biologics License Application for approval of the drug.

If approved, aducanumab would become the first immunotherapy to reduce the clinical decline of Alzheimer's disease and would also be the first therapy to demonstrate that removing amyloid beta, a hallmark of the degenerative brain disorder, resulted in better clinical outcomes.

An array of 'completely different opinions'

The influential Alzheimer's Association supports approval of the drug and submitted a letter of support ahead of Friday's meeting saying that ""there is a dire and drastic need to offer relief and support to the millions of Americans impacted each day by the crushing realities of Alzheimer's.""

In a separate testimony, the nonprofit Public Citizen's Health Research Group said that the FDA should not approve aducanumab for treatment of Alzheimer's disease due to lack of evidence of its effectiveness.

Get CNN Health's weekly newsletter Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.

Approving the drug ""is likely to result in far more harm than good,"" Michael Carome, director of the group, said in a written statement on Thursday.

There are diverse opinions among clinicians and researchers around whether aducanumab should be approved, Dr. Richard Isaacson, director of the Alzheimer's Prevention Clinic at Weill Cornell Medicine and NewYork-Presbyterian in New York, who had patients in the original aducanumab clinical studies, told CNN on Wednesday.

""A handful of the most respected scientists and researchers in our field have completely different opinions,"" Isaacson said. ""Whatever the decision is, it's a watershed moment for the field of Alzheimer's disease."""
Pandemic restrictions could make for a lighter flu season,['Terry Ward'],"(CNN) As Colorado was bidding a final farewell to any hopes of a lingering summer after a surprise snowstorm covered much of the state, Kara Williams had a realization.

""It hit me,"" Williams, 51, an empty nester in Carbondale, said. ""It's getting colder, the heat is on, and I'm not sick.""

The change of seasons usually ushers in predictable cold symptoms she'd grown accustomed to dealing with several times a year.

""Typically, my colds start with a scratchy throat, I know I'm getting sick when I get that. So I usually take some Zicam to ward it off,"" she said. ""Then it goes from my throat to my nose, and usually lasts a week, unless it gets into my lungs.""

Williams realized she had last had a cold in January, and she is sure it's due to the pandemic precautions she has been taking — including social distancing, not going to large gatherings, wearing a mask when she's shopping, using hand sanitizer and washing her hands constantly.

If you're also noticing you're not suffering from the seasonal sniffles, sneezes and coughs of pre-pandemic times, there is an explanation.

Social distancing also curtails flu spread

""It's absolutely because of the precautions we are taking,"" CNN Medical Analyst and emergency physician Dr. Leana S. Wen said in an earlier interview. ""The same precautions that protect us against coronavirus also protect against cold, flus and respiratory pathogens.""

""It's the fact you're keeping your distance, wearing a mask, washing your hands more, that you're attentive that someone might have the illness and not know it,"" said Wen, who is a professor of public health at George Washington University.

""In the past, it might have been acceptable to be sneezing and cough a little and still go to work or school, and now that would not be acceptable,"" she said. ""That reduces the risk of transmission, too.""

Wen pointed to Australia's milder flu season during its winter months as further indication that ""the same precautions used to protect against coronavirus also reduced instances of the flu.""

Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, noted that Australia had the fewest number of flu cases ""in memory"" during its winter flu season, from April to September.

""They almost, as they call it, had an absent flu season,"" said Fauci, speaking with Washington, DC, radio station WTOP on September 17. ""The theory is that all the precautions they took to contain the pandemic actually ""averted a flu season.""

Both Fauci and Wen, however, said that this is not the time to get complacent.

""Right now, there's a coronavirus storm all over the country,"" Wen said. ""The virus is surging in most parts of the country. We are entering an extremely concerning time for (Covid-19). This is the time for us to be hunkering down — what's been driving the most recent surge is gatherings with family and friends.""

Go with what's available

If you haven't already gotten your flu shot, the time is now. The start of flu season in the Northern Hemisphere is usually November, Wen said, and it's best to get vaccinated before November.

""If you look at the data over many years about flu vaccines, they're not perfect,"" Fauci said. ""We know from the data that flu shots not only prevent infections; they prevent people who do get infected from getting serious progressive disease sometimes resulting in hospitalization.""

Fauci credited the flu shot, wearing masks, avoiding crowds, keeping physically distanced and frequent hand-washing as the actions that may have protected people in the Southern Hemisphere this winter.

""There is no coronavirus vaccine but here is a flu vaccine, and it's important for us to do the things that we can,"" Wen said. ""With what's essentially the twindemics of the flu and coronavirus, get the vaccine to protect at least against one.""

Stay vigilant

Since Covid-19, the flu and the common cold share some symptoms — including headaches, body aches and feeling generally unwell, Wen said it's going to be ""extremely difficult to sort out who has what, especially with the limited testing that we have.""

""These respiratory pathogens have a seasonal pattern,"" she said. ""They increase in spread when people are congregating indoors more. Viruses can linger longer when there's less humidity in the air, and colder weather in the winter means less humidity indoors.""

Indoors with her inner circle in the cold Colorado winter is where Williams, who recently got her flu shot, plans to ride out much of the coming cold and flu season, she said.

""It's getting colder here and I joke to my husband, 'OK, we're going into hibernation, this is it,'"" she said. ""I think we're going to have a healthy winter.""

People should continue good public health hygiene practices that help prevent the common cold and flu post-pandemic, too, Wen said,""such as staying home when they're feeling sick, frequently washing hands, and making sure they are up-to-date on their vaccines."""
